space,coe,ideal_generator

S^{1},2,v^{2}
S^{2},2,v^{2}

S^{2},1,y_{2}^{2}

S^{6},0,b^{2}
S^{6},1,b^{2}
S^{6},2,b^{2}

L(3),1,3y

S^{4}_{2},1,b^{3}

CP^{2},1,b^{3}
CP^{3},1,b^{4}

U(2)/T^{2},1,"v^{2}"

U(3)/T^{3},1,"y_{2}^{2}"
U(3)/T^{3},1,"y_{3}^{3}"

U(4)/T^{4},1,"y_{2}^{2}"
U(4)/T^{4},1,"y_{3}^{3}"
U(4)/T^{4},1,"y_{4}^{4}"

RP^{7},2,v^{8}

SU(3),2,"v_{3}^{2}"
SU(3),2,"v_{5}^{2}"

G_{2},2,"y_{3}^{4}"
G_{2},2,"y_{5}^{2}"

F_{4},2,"y_{3}^{4}"
F_{4},2,"y_{5}^{2}"
F_{4},2,"y_{15}^{2}"

F_{4},3,"y_{8}^{3}"

F_{4}/Spin(9),2,"b^{3}"

